thread_num,wh_num,success,abort,pc_success,pc_abort,total_time
1, 1, 313434,0,0, 0, 10000
1, 1, 315028,0,0, 0, 10000
1, 1, 314479,0,0, 0, 10000
1, 1, 311140,0,0, 0, 10000
1, 1, 313087,0,0, 0, 9999
4, 1, 727898,287797,0, 0, 10000
4, 1, 730679,289149,0, 0, 10000
4, 1, 727220,288458,0, 0, 10000
4, 1, 719101,285958,0, 0, 10000
4, 1, 729126,290261,0, 0, 10000
8, 2, 1230958,488152,0, 0, 10000
8, 2, 1217977,477731,0, 0, 10000
8, 2, 1326090,533940,0, 0, 10000
8, 2, 1222911,491066,0, 0, 10000
8, 2, 1212338,477441,0, 0, 10000
16, 4, 1701434,664489,0, 0, 10000
16, 4, 1657811,649376,0, 0, 10000
16, 4, 1612153,635041,0, 0, 10000
16, 4, 1615400,632070,0, 0, 10000
16, 4, 1634102,643198,0, 0, 10000
32, 8, 1904304,744795,0, 0, 10000
32, 8, 1908043,753274,0, 0, 10000
32, 8, 1923939,756083,0, 0, 10001
32, 8, 1833167,727012,0, 0, 10000
32, 8, 1901542,750247,0, 0, 10000
64, 16, 2053431,814162,0, 0, 10001
64, 16, 2112129,841320,0, 0, 10001
64, 16, 2130667,838115,0, 0, 10001
64, 16, 2074289,818030,0, 0, 10000
64, 16, 2091210,833358,0, 0, 10001
