thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
Idx: 4096, Prev_cap: 4096, Cur_cap: 8192,  Table:"customer"
Idx: 8192, Prev_cap: 8192, Cur_cap: 16384,  Table:"customer"
Idx: 16384, Prev_cap: 16384, Cur_cap: 32768,  Table:"customer"
Idx: 518144, Prev_cap: 518144, Cur_cap: 1036288,  Table:"orderline"
Idx: 65536, Prev_cap: 65536, Cur_cap: 131072,  Table:"order"
Idx: 65536, Prev_cap: 65536, Cur_cap: 131072,  Table:"neworder"
Idx: 1036288, Prev_cap: 1036288, Cur_cap: 2072576,  Table:"orderline"
Idx: 131072, Prev_cap: 131072, Cur_cap: 262144,  Table:"order"
Idx: 131072, Prev_cap: 131072, Cur_cap: 262144,  Table:"neworder"
Idx: 2072576, Prev_cap: 2072576, Cur_cap: 4145152,  Table:"orderline"
Idx: 262144, Prev_cap: 262144, Cur_cap: 524288,  Table:"order"
Idx: 262144, Prev_cap: 262144, Cur_cap: 524288,  Table:"neworder"
Idx: 4145152, Prev_cap: 4145152, Cur_cap: 8290304,  Table:"orderline"
Idx: 524288, Prev_cap: 524288, Cur_cap: 1048576,  Table:"order"
1, 1, 281297,0,0, 0,0,9992,173,55
Idx: 4096, Prev_cap: 4096, Cur_cap: 8192,  Table:"customer"
Idx: 8192, Prev_cap: 8192, Cur_cap: 16384,  Table:"customer"
Idx: 16384, Prev_cap: 16384, Cur_cap: 32768,  Table:"customer"
Idx: 518144, Prev_cap: 518144, Cur_cap: 1036288,  Table:"orderline"
Idx: 65536, Prev_cap: 65536, Cur_cap: 131072,  Table:"order"
Idx: 65536, Prev_cap: 65536, Cur_cap: 131072,  Table:"neworder"
Idx: 1036288, Prev_cap: 1036288, Cur_cap: 2072576,  Table:"orderline"
Idx: 131072, Prev_cap: 131072, Cur_cap: 262144,  Table:"order"
Idx: 131072, Prev_cap: 131072, Cur_cap: 262144,  Table:"neworder"
Idx: 2072576, Prev_cap: 2072576, Cur_cap: 4145152,  Table:"orderline"
Idx: 262144, Prev_cap: 262144, Cur_cap: 524288,  Table:"order"
Idx: 262144, Prev_cap: 262144, Cur_cap: 524288,  Table:"neworder"
Idx: 4145152, Prev_cap: 4145152, Cur_cap: 8290304,  Table:"orderline"
Idx: 524288, Prev_cap: 524288, Cur_cap: 1048576,  Table:"order"
1, 1, 282065,0,0, 0,0,9992,174,55
Idx: 4096, Prev_cap: 4096, Cur_cap: 8192,  Table:"customer"
Idx: 8192, Prev_cap: 8192, Cur_cap: 16384,  Table:"customer"
Idx: 16384, Prev_cap: 16384, Cur_cap: 32768,  Table:"customer"
Idx: 518144, Prev_cap: 518144, Cur_cap: 1036288,  Table:"orderline"
Idx: 65536, Prev_cap: 65536, Cur_cap: 131072,  Table:"order"
Idx: 65536, Prev_cap: 65536, Cur_cap: 131072,  Table:"neworder"
Idx: 1036288, Prev_cap: 1036288, Cur_cap: 2072576,  Table:"orderline"
Idx: 131072, Prev_cap: 131072, Cur_cap: 262144,  Table:"order"
Idx: 131072, Prev_cap: 131072, Cur_cap: 262144,  Table:"neworder"
Idx: 2072576, Prev_cap: 2072576, Cur_cap: 4145152,  Table:"orderline"
Idx: 262144, Prev_cap: 262144, Cur_cap: 524288,  Table:"order"
Idx: 262144, Prev_cap: 262144, Cur_cap: 524288,  Table:"neworder"
Idx: 4145152, Prev_cap: 4145152, Cur_cap: 8290304,  Table:"orderline"
Idx: 524288, Prev_cap: 524288, Cur_cap: 1048576,  Table:"order"
Idx: 524288, Prev_cap: 524288, Cur_cap: 1048576,  Table:"neworder"
1, 1, 318389,0,0, 0,0,9991,196,62
Idx: 4096, Prev_cap: 4096, Cur_cap: 8192,  Table:"customer"
Idx: 8192, Prev_cap: 8192, Cur_cap: 16384,  Table:"customer"
Idx: 16384, Prev_cap: 16384, Cur_cap: 32768,  Table:"customer"
Idx: 2072576, Prev_cap: 2072576, Cur_cap: 4145152,  Table:"orderline"
Idx: 262144, Prev_cap: 262144, Cur_cap: 524288,  Table:"order"
Idx: 262144, Prev_cap: 262144, Cur_cap: 524288,  Table:"neworder"
Idx: 4145152, Prev_cap: 4145152, Cur_cap: 8290304,  Table:"orderline"
4, 1, 247550,10861171,0, 0,0,9999,153,48
Idx: 4096, Prev_cap: 4096, Cur_cap: 8192,  Table:"customer"
